public_transport_nearby,has_lifts,allows_pets,cctv,floor,antiquity_min_years,antiquity_max_years,rooms,bathrooms,garages,area,stratum,lat,lng,rent_price,admon_price,total_price
1,1,0,0,8,0,5,3,3,2,112,6,4.6830297,-74.054504,4500000,0,4500000
0,1,0,0,,10,20,3,3,1,54,4,4.66513,-74.1144,1350000,0,1350000
1,0,1,0,,0,5,1,1,0,35,4,4.711313,-74.07118,990000,155000,1145000
0,0,0,0,,0,5,2,1,0,50,2,6.2912,-75.5536,780000,0,780000
1,0,0,0,,10,20,4,4,2,137,4,4.67134,-74.10214,3200000,0,3200000
1,1,0,0,3,20,,3,2,1,70,4,4.705548,-74.02409,1650000,0,1650000
0,1,0,0,,5,10,3,3,1,0,4,4.696038,-74.08173,1722000,289000,2011000
1,0,1,0,2,10,20,3,1,0,63,4,4.633704,-74.06527,1150000,0,1150000
0,0,0,0,,10,20,1,0,4,600,0,4.6926637,-74.0412,12000000,0,12000000
1,1,0,0,9,0,5,3,2,0,50,4,4.658216,-74.11955,1300000,0,1300000
1,1,0,1,0,5,10,2,2,1,153,6,6.206023,-75.57219,4400000,0,4400000
0,0,0,0,,5,10,2,2,0,60,3,6.22598,-75.60529,1380000,0,1380000
1,0,1,1,2,5,10,3,2,1,55,3,,,805000,95000,900000
1,1,0,1,7,10,20,3,3,1,0,4,4.646173,-74.085884,1655000,265000,1920000
1,1,0,0,10,0,5,1,2,1,63,6,4.6907864,-74.04973,2940200,429900,3370100
0,0,0,0,,0,5,2,1,0,50,5,6.24764,-75.56582,950000,0,950000
1,1,0,0,4,10,20,2,3,0,120,4,4.6293144,-74.06934,1600000,200000,1800000
0,0,0,0,,10,20,3,1,0,80,3,6.23326,-75.55609,900000,0,900000
0,0,0,0,1,10,20,3,3,2,160,6,6.2162666,-75.56802,4100000,0,4100000
0,1,0,0,3,5,10,1,2,1,0,5,4.714979,-74.032486,990800,309200,1300000
0,1,0,0,,20,,3,3,2,115,4,4.66803,-74.06183,2600000,0,2600000
0,1,0,0,3,20,,3,4,2,225,6,4.670211,-74.04107,6500000,1500000,8000000
1,1,1,0,,0,5,4,4,2,145,5,6.240425,-75.59135,4500000,0,4500000
1,0,0,1,,10,20,2,3,1,0,6,4.7001877,-74.04267,2500000,0,2500000
1,0,0,0,2,20,,2,1,1,44,4,4.7205057,-74.027756,856000,247000,1103000
0,0,0,0,,10,20,3,1,0,80,3,6.26694,-75.55863,750000,0,750000
1,0,0,0,1,,,2,1,0,36,4,4.6311564,-74.06296,1300000,0,1300000
0,1,0,1,1,0,5,2,1,0,55,3,6.264421,-75.570595,-49999,999999,950000
0,0,0,0,1,10,20,3,2,0,73,0,6.221608,-75.57567,2200000,0,2200000
0,0,0,0,2,0,5,1,1,1,40.6,5,4.7030053,-74.02974,1385000,215000,1600000
1,1,0,0,4,20,,3,3,2,122,0,4.6831703,-74.04238,3800000,0,3800000
1,0,0,0,4,20,,3,2,1,91,4,4.633833,-74.08973,1800000,0,1800000
0,1,1,1,7,0,5,3,2,1,56,3,4.592232,-74.16108,1000000,0,1000000
0,1,0,0,4,10,20,3,3,2,129,5,4.7179546,-74.06522,2700000,0,2700000
0,0,0,0,1,10,20,4,2,2,200,6,4.6890984,-74.03893,8000000,0,8000000
1,1,1,1,2,5,10,2,2,2,90,6,4.6768293,-74.04172,3195000,805000,4000000
1,1,0,1,5,5,10,1,2,1,58,5,4.699138,-74.04534,1770000,330000,2100000
0,0,0,0,1,10,20,3,2,1,110,5,6.23781,-75.59999,2100000,50000,2150000
0,0,0,0,,5,10,2,2,1,86,5,4.69403,-74.05699,1430000,470000,1900000
1,1,0,0,2,0,5,1,2,0,40,5,4.7074866,-74.03138,925000,295000,1220000
0,0,0,0,,10,20,4,4,4,0,6,4.684711,-74.04364,9000000,0,9000000
